image,image_url,species_prediction,true_species
image-1.jpg,https://live.staticflickr.com/65535/50567923271_926d37d247_b.jpg,BELTED KINGFISHER,BELTED KINGFISHER
image-3.jpg,https://live.staticflickr.com/65535/50561468316_74b9d94115_b.jpg,COLUMBIAN BLACK TAILED DEER,COLUMBIAN BLACK TAILED DEER
image-5.jpg,https://live.staticflickr.com/65535/50543914708_e597b1c4d4_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-6.jpg,https://live.staticflickr.com/65535/50525531943_762ca30083_b.jpg,BLUE GRAY GNATCATCHER,BLUE GRAY GNATCATCHER
image-17.jpg,https://live.staticflickr.com/65535/50524069628_5b4eb7bdfe_b.jpg,WHITE FACED HERON,IRRELEVANT
image-19.jpg,https://live.staticflickr.com/65535/50524069098_9c1d0b8388_b.jpg,BLACK COTTONWOOD,BLACK COTTONWOOD
image-23.jpg,https://live.staticflickr.com/65535/50447025723_1079e8dfd5_b.jpg,BARRED OWL,BARRED OWL
image-24.jpg,https://live.staticflickr.com/65535/50130268502_7be3a73201_b.jpg,BLUE DASHER,BLUE DASHER
image-25.jpg,https://live.staticflickr.com/65535/50127659968_f34c063b8e_b.jpg,GREAT BLUE HERON,GREAT BLUE HERON
image-26.jpg,https://live.staticflickr.com/65535/50126738897_da64bb15f6_b.jpg,GREAT BLUE HERON,GREAT BLUE HERON
image-27.jpg,https://live.staticflickr.com/65535/49978409217_5230070fff_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-28.jpg,https://live.staticflickr.com/65535/49952427656_99249afd42_b.jpg,RED TAILED HAWK,RED TAILED HAWK
image-31.jpg,https://live.staticflickr.com/65535/49699509886_6f22224733_b.jpg,GREEN LYNX SPIDER,FORK TAILED BUSH KATYDID
image-32.jpg,https://live.staticflickr.com/65535/46756398285_e79f7c5d51_b.jpg,GREAT BLUE HERON,GREAT BLUE HERON
image-36.jpg,https://live.staticflickr.com/65535/50148546451_143e948f3e_b.jpg,EASTERN GRAY SQUIRREL,EASTERN GRAY SQUIRREL
image-37.jpg,https://live.staticflickr.com/65535/50148004383_9685b0ca17_b.jpg,EASTERN COTTONTAIL,EASTERN COTTONTAIL
image-38.jpg,https://live.staticflickr.com/65535/50148783867_299b343b18_b.jpg,GREAT BLUE HERON,GREAT BLUE HERON
image-39.jpg,https://live.staticflickr.com/65535/49978409287_94e3296ab5_b.jpg,MOURNING DOVE,MOURNING DOVE
image-40.jpg,https://live.staticflickr.com/65535/49977626843_6734782769_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-41.jpg,https://live.staticflickr.com/65535/49978408882_f5e6ed7766_b.jpg,HOUSE SPARROW,HOUSE SPARROW
image-42.jpg,https://live.staticflickr.com/65535/49978408757_db0e13cf09_b.jpg,MOURNING DOVE,MOURNING DOVE
image-43.jpg,https://live.staticflickr.com/65535/49978408662_d8afa4a226_b.jpg,EASTERN CHIPMUNK,EASTERN CHIPMUNK
image-44.jpg,https://live.staticflickr.com/65535/49978146526_eb66631882_b.jpg,BLUE JAY,BLUE JAY
image-45.jpg,https://live.staticflickr.com/65535/49978146391_0b438c0e97_b.jpg,BLUE JAY,BLUE JAY
image-46.jpg,https://live.staticflickr.com/65535/49978408247_ce6f7e138b_b.jpg,CAROLINA CHICKADEE,CAROLINA CHICKADEE
image-47.jpg,https://live.staticflickr.com/65535/49977626098_f612ddf8e5_b.jpg,CAROLINA CHICKADEE,CAROLINA CHICKADEE
image-48.jpg,https://live.staticflickr.com/65535/49978408062_737e4b5d2a_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-49.jpg,https://live.staticflickr.com/65535/49977625953_f0657828b8_b.jpg,EASTERN CHIPMUNK,EASTERN CHIPMUNK
image-50.jpg,https://live.staticflickr.com/65535/49978145751_41db54e94f_b.jpg,MOURNING DOVE,MOURNING DOVE
image-51.jpg,https://live.staticflickr.com/65535/49978145661_376275af4f_b.jpg,MOURNING DOVE,MOURNING DOVE
image-52.jpg,https://live.staticflickr.com/65535/49977625673_de40cdd8d0_b.jpg,LAUGHING DOVE,LAUGHING DOVE
image-53.jpg,https://live.staticflickr.com/65535/49978407537_0d90a99ca5_b.jpg,EASTERN GRAY SQUIRREL,EASTERN GRAY SQUIRREL
image-54.jpg,https://live.staticflickr.com/65535/49978145371_d9102fc4a3_b.jpg,EASTERN GRAY SQUIRREL,NOT ENOUGH INFO
image-56.jpg,https://live.staticflickr.com/65535/49977624878_8968629020_b.jpg,EASTERN GRAY SQUIRREL,EASTERN GRAY SQUIRREL
image-57.jpg,https://live.staticflickr.com/65535/49977624808_9cc745eddc_b.jpg,EASTERN GRAY SQUIRREL,EASTERN GRAY SQUIRREL
image-58.jpg,https://live.staticflickr.com/65535/49978144436_a97b857c2e_b.jpg,TUFTED TITMOUSE,TUFTED TITMOUSE
image-59.jpg,https://live.staticflickr.com/65535/49978406447_37d4456787_b.jpg,TUFTED TITMOUSE,TUFTED TITMOUSE
image-60.jpg,https://live.staticflickr.com/65535/49977624523_e283e00cf5_b.jpg,HOUSE FINCH,HOUSE FINCH
image-61.jpg,https://live.staticflickr.com/65535/49977624463_79f7e6e7ec_b.jpg,AMERICAN GOLDFINCH,AMERICAN GOLDFINCH
image-62.jpg,https://live.staticflickr.com/65535/49978144241_4416d68274_b.jpg,MOURNING DOVE,MOURNING DOVE
image-63.jpg,https://live.staticflickr.com/65535/49978406197_c8e857df46_b.jpg,AMERICAN ROBIN,AMERICAN ROBIN
image-64.jpg,https://live.staticflickr.com/65535/49978144056_2815801ff1_b.jpg,HOUSE SPARROW,HOUSE SPARROW
image-65.jpg,https://live.staticflickr.com/65535/49978143931_85b2d99886_b.jpg,HOUSE SPARROW,HOUSE SPARROW
image-66.jpg,https://live.staticflickr.com/65535/49977624093_3bc27947db_b.jpg,HOUSE FINCH,HOUSE FINCH
image-67.jpg,https://live.staticflickr.com/65535/49978143756_5d7da178fd_b.jpg,HOUSE SPARROW,HOUSE SPARROW
image-68.jpg,https://live.staticflickr.com/65535/49977623863_58acc36809_b.jpg,HOUSE SPARROW,HOUSE SPARROW
image-69.jpg,https://live.staticflickr.com/65535/49978143581_01354365f7_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-70.jpg,https://live.staticflickr.com/65535/49978405602_1813f23154_b.jpg,NORTHERN CARDINAL,NORTHERN CARDINAL
image-71.jpg,https://live.staticflickr.com/65535/49977623558_85db053fd8_b.jpg,GREAT HORNED OWL,DOMESTIC CAT
image-72.jpg,https://live.staticflickr.com/65535/49978405312_f4a7473549_b.jpg,HOUSE FINCH,HOUSE FINCH
